Document Name,TTR,ASL,NPR
1001_000.txt,0.9704637239119999,8.162162162162161,0.4481835131835132
1001_001.txt,0.9251582516440399,13.666666666666666,0.4620922395776197
1001_002.txt,0.9353947724869216,14.333333333333334,0.4298187446281288
1001_003.txt,0.9466362136586679,12.63888888888889,0.4571793785135644
1001_004.txt,0.9594198887889155,11.425,0.4032747537478575
1001_005.txt,0.957319753988552,10.2,0.455
1001_006.txt,0.9327419802419801,12.636363636363637,0.37865926437995817
1001_007.txt,0.9168475852355725,12.851851851851851,0.48249284263777015
1001_008.txt,0.9438375580798855,9.35,0.44392166313218945
1001_009.txt,0.9584106525282999,12.0,0.4215483965161468
1001_010.txt,0.9636689110817166,10.581395348837209,0.4093778184839456
1001_011.txt,0.9721858672936261,9.425,0.4203190957023488
1001_012.txt,0.9251933937959981,15.26923076923077,0.43820859481799174
1001_013.txt,0.9445494820817634,9.804878048780488,0.41746832643161735
1001_014.txt,0.9628472752737458,9.181818181818182,0.46253761390125026
1002_015.txt,0.9052457388184033,17.88235294117647,0.4737770687597677
1002_016.txt,0.8608974004434079,19.285714285714285,0.42801552996840136
1002_017.txt,0.8869653623723391,20.833333333333332,0.39517559195190777
1002_018.txt,0.907944300678285,22.23076923076923,0.43510352823115794
1002_019.txt,0.8943728267220252,17.583333333333332,0.4957858345358345
1002_020.txt,0.8521874857168975,21.53846153846154,0.4190255032866369
1002_021.txt,0.8852024596820978,23.923076923076923,0.3603379397155348
1002_022.txt,0.9011619055980469,18.625,0.38960635347051753
1002_023.txt,0.9267762718133944,18.545454545454547,0.340332661990416
1002_024.txt,0.9841269841269842,9.571428571428571,0.7051282051282052
1003_025.txt,0.9549415700257559,11.625,0.44588758428272496
1003_026.txt,0.9414573815357198,10.241379310344827,0.478857158167503
1003_027.txt,0.9000977264909154,16.23076923076923,0.4396936197868766
1003_028.txt,0.937224517906336,9.363636363636363,0.45476190476190476
1003_029.txt,0.9662164382661277,8.80952380952381,0.4134493187124766
1003_030.txt,0.9672635445362717,7.393939393939394,0.5522178999451727
1005_032.txt,0.9565856801150919,13.117647058823529,0.4704781619272129
1005_033.txt,0.9547034724818679,12.5625,0.4578962040818658
1005_034.txt,0.9319096266818835,16.952380952380953,0.41504753834178143
1005_035.txt,0.9615249864423784,15.090909090909092,0.3377891741981826
1005_036.txt,0.9081953546969027,20.5,0.4134778331424673
1005_037.txt,0.9588785351871455,13.2,0.42784795321637425
1005_038.txt,0.9503155534789165,15.0,0.410535176241698
1005_039.txt,0.9259038699504741,14.74074074074074,0.386286833730473
1005_040.txt,0.9706045966915532,10.533333333333333,0.5066650211387054
1005_041.txt,0.9736324786324786,7.533333333333333,0.6072222222222222
1006_042.txt,0.9629246226769446,9.73076923076923,0.5224799239222316
1006_043.txt,0.9456923373206898,15.055555555555555,0.3855847341936389
1006_044.txt,0.9203236952606523,14.545454545454545,0.4056293642500539
1006_045.txt,0.9411274668702204,13.875,0.44052697208068053
1006_046.txt,0.9408546446822672,16.45,0.41632347359233546
1006_047.txt,0.9140102089048305,16.94736842105263,0.39200342584942605
1006_048.txt,0.9562025794857801,12.28125,0.38509605474884645
1006_049.txt,0.9031463987604339,11.25,0.5567632850241546
1006_050.txt,0.9633908552672855,11.071428571428571,0.5216953448045885
1006_051.txt,0.9411557347386225,12.515151515151516,0.4108016829244451
1006_052.txt,0.9530006749076442,13.294117647058824,0.3573819382825594
1006_053.txt,0.9139626028728781,13.55,0.44411636618858663
1006_054.txt,0.933240655902392,13.806451612903226,0.38566708300058977
1006_055.txt,0.9393483709273184,12.421052631578947,0.4109993997865851
